,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2016-04-29,0.5868,0.765,0.9579,1.1446,1.315,1.4658,1.5969,1.7102,1.808,1.8931,1.968,2.0349,2.0957,2.152,2.205,2.2557,2.3049,2.3532,2.4009,2.4483,2.4958,2.5433,2.591,2.6389,2.687,2.7353,2.7837,2.8321,2.8806,2.929,6.34354998,-5.88056732,-3.68040307,-9.14350373,2.467394,12.37678286
2016-04-28,0.5812,0.775,0.9706,1.1549,1.3218,1.4697,1.5993,1.7122,1.8109,1.8977,1.9748,2.0443,2.1077,2.1666,2.2221,2.2751,2.3264,2.3764,2.4256,2.4744,2.5228,2.5712,2.6195,2.6678,2.7161,2.7645,2.8128,2.8612,2.9094,2.9575,6.32185892,-5.90754101,-3.278863,-8.86664717,2.64872979,12.46877171
2016-04-27,0.6114,0.8271,1.0281,1.2102,1.3721,1.5147,1.6397,1.7491,1.8453,1.9305,2.0065,2.0753,2.1383,2.1968,2.2519,2.3044,2.3551,2.4044,2.4529,2.5008,2.5484,2.5959,2.6433,2.6908,2.7383,2.786,2.8338,2.8816,2.9295,2.9774,6.66501579,-6.27485819,-2.79715897,-9.49297375,3.02306564,13.32770653
2016-04-26,0.6033,0.8486,1.0683,1.2626,1.433,1.5815,1.7107,1.8231,1.9211,2.0071,2.0832,2.1511,2.2126,2.269,2.3215,2.3711,2.4187,2.4649,2.5103,2.5552,2.6001,2.6453,2.6908,2.7369,2.7836,2.831,2.8791,2.928,2.9775,3.0277,8.47889439,-8.14465349,-2.97856283,-13.80966443,3.60433914,15.80226159
2016-04-25,0.5931,0.827,1.0417,1.2342,1.4039,1.5521,1.6807,1.7922,1.8891,1.9737,2.0483,2.1148,2.175,2.2304,2.2821,2.3311,2.3784,2.4246,2.4702,2.5156,2.5611,2.6069,2.6532,2.7001,2.7477,2.796,2.8449,2.8944,2.9446,2.9954,7.90126201,-7.55378957,-3.20025056,-12.64534493,3.22427185,14.78509213
2016-04-22,0.5813,0.8158,1.0301,1.2217,1.3905,1.5378,1.6656,1.7763,1.8725,1.9564,2.0303,2.0962,2.1557,2.2104,2.2614,2.3099,2.3565,2.4021,2.4471,2.492,2.5371,2.5826,2.6288,2.6756,2.7231,2.7715,2.8207,2.8706,2.9213,2.9726,8.20182521,-7.86872551,-3.25281585,-13.46269205,3.31358046,15.12978888
2016-04-21,0.564,0.8049,1.0185,1.2066,1.3714,1.5155,1.6414,1.7516,1.8484,1.9339,2.0101,2.0787,2.141,2.1983,2.2519,2.3025,2.3509,2.3978,2.4436,2.4889,2.534,2.579,2.6243,2.67,2.7162,2.7629,2.8102,2.8581,2.9066,2.9558,8.48891075,-8.19423119,-2.65493656,-13.79481725,3.92465824,16.33281604
2016-04-20,0.5574,0.7911,1.0015,1.1885,1.3532,1.4974,1.6233,1.7332,1.8293,1.9138,1.9887,2.0558,2.1165,2.1723,2.2243,2.2735,2.3207,2.3666,2.4117,2.4564,2.5011,2.5461,2.5916,2.6377,2.6845,2.732,2.7803,2.8294,2.8793,2.93,8.6474626,-8.34489621,-3.07774646,-14.46347762,3.69055554,16.08367743
2016-04-19,0.562,0.7595,0.9511,1.1295,1.2912,1.4352,1.5619,1.6727,1.7693,1.8539,1.9282,1.9942,2.0536,2.1078,2.1582,2.2058,2.2515,2.2962,2.3404,2.3846,2.4292,2.4744,2.5205,2.5676,2.6158,2.6651,2.7156,2.7672,2.8199,2.8736,9.11887218,-8.74717754,-4.12737824,-16.10042692,3.36892207,15.93228682
2016-04-18,0.5419,0.7371,0.9275,1.1056,1.2677,1.4125,1.5403,1.6524,1.7504,1.8362,1.9117,1.9788,2.0392,2.0942,2.1452,2.1934,2.2395,2.2845,2.3289,2.3733,2.4179,2.4632,2.5093,2.5564,2.6045,2.6538,2.7043,2.7559,2.8086,2.8624,9.26858007,-8.91326954,-4.23151194,-16.4709527,3.41028866,16.13405115
